"","BioInf_Sample","Sample_name","SPECIMEN.CODE","COLLECTOR.NUMBER","SPECIES","Site","state","epithet","INDEX","Specimen.CODE","collectionNumber","Alt_Coll_No","LABEL_Species_author","Cleaned_NAMES-USE-THIS","Genus","Species_ept","collectionDate","collectors","Material.type","Received.by.MOR","country","state/province","substate","substateRank","site","habitat","associates","elevation","determinationOriginal","latitude.orig","longitude.orig","datum","Altitude","photos","Collecting_Extracting.notes","Project","voucher1","voucher2","voucher3","otherVouchers","Mira.used.for:","Wild_Arb_GH_Collected","country-georef","state_province_georef","County_georef","City_georef","EXTRACTION.LABELING"
"QUE001804","S001","OAK.MOR.001238","QUE001804","IA-MG-261","Quercus macrocarpa Michx.","Ames","IA","macrocarpa",1804,"QUE001804","IA-MG-261",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",42900,"Mira Garner, Sara Desmond, Douglas McNew","fresh, frozen",NA,"USA","Iowa","Story","County","Ames, Veenker Memorial Golf Course
(ISU)","edge of woods",NA,NA,"Quercus macrocarpa Michx.","42.042110000000001","-93.606189999999998",NA,NA,NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted",NA,NA,NA,"DNA Barcoding","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE001804, collection#: IA-MG-261"
"QUE001805","S002","OAK.MOR.001239","QUE001805","IA-MG-262","Quercus alba L.","Ames","IA","alba",1805,"QUE001805","IA-MG-262",NA,"Quercus alba L.",NA,"Quercus","alba",42900,"Mira Garner, Sara Desmond, Douglas McNew","fresh, frozen",NA,"USA","Iowa","Story","County","Ames, Veenker Memorial Golf Course
(ISU)","edge of woods",NA,NA,"Quercus alba L.","42.042070000000002","-93.605729999999994",NA,NA,NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted",NA,NA,NA,"DNA Barcoding","wild",NA,NA,NA,NA,"Quercus alba L., SPMCODE: QUE001805, collection#: IA-MG-262"
"QUE001813","S003","OAK.MOR.001240","QUE001813","IA-MG-268","Quercus bicolor Willd.","Bonaparte, IA","IA","bicolor",1813,"QUE001813","IA-MG-268",NA,"Quercus bicolor Willd.",NA,"Quercus","bicolor",42900,"Mira Garner, Sara Desmond","fresh, frozen",NA,"USA","Iowa","Van Buren","County","Bonaparte, Lindsay Wilderness",NA,NA,NA,"Quercus bicolor Willd.",NA,NA,NA,NA,NA,"GPS coordinates (42.04697, -93.61335) better match previous site (golfcourse)","Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted",NA,NA,NA,"DNA Barcoding","wild",NA,NA,NA,NA,"Quercus bicolor Willd., SPMCODE: QUE001813, collection#: IA-MG-268"
"QUE001814","S004","OAK.MOR.001241","QUE001814","IA-MG-269","Quercus macrocarpa Michx.","Bonaparte, IA","IA","macrocarpa",1814,"QUE001814","IA-MG-269",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",42900,"Mira Garner, Sara Desmond","fresh, frozen",NA,"USA","Iowa","Van Buren","County","Bonaparte, Lindsay Wilderness",NA,NA,NA,"Quercus macrocarpa Michx.","40.705599999999997","-91.794160000000005",NA,NA,NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted",NA,NA,NA,"DNA Barcoding","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE001814, collection#: IA-MG-269"
"QUE001815","S005","OAK.MOR.001242","QUE001815","IA-MG-270","Quercus alba L.","Bonaparte, IA","IA","alba",1815,"QUE001815","IA-MG-270",NA,"Quercus alba L.",NA,"Quercus","alba",42900,"Mira Garner, Sara Desmond","fresh, frozen",NA,"USA","Iowa","Van Buren","County","Bonaparte, Lindsay Wilderness",NA,NA,NA,"Quercus alba L.","40.706249999999997","-91.79392",NA,NA,NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted",NA,NA,NA,"DNA Barcoding","wild",NA,NA,NA,NA,"Quercus alba L., SPMCODE: QUE001815, collection#: IA-MG-270"
"QUE001819","S006","OAK.MOR.001243","QUE001819","IA-MG-274","Quercus muehlenbergii Engelm.","Bonaparte, IA","IA","muehlenbergii",1819,"QUE001819","IA-MG-274",NA,"Quercus muehlenbergii Engelm.",NA,"Quercus","muehlenbergii",42900,"Mira Garner, Sara Desmond","fresh, frozen",NA,"USA","Iowa","Van Buren","County","Bonaparte, Lindsay Wilderness",NA,NA,NA,"Quercus muehlenbergii Engelm.","40.704810000000002","-91.79589",NA,NA,NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted",NA,NA,NA,"DNA Barcoding","wild",NA,NA,NA,NA,"Quercus muehlenbergii Engelm., SPMCODE: QUE001819, collection#: IA-MG-274"
"QUE001841","S007","OAK.MOR.001246","QUE001841","MO-MG327","Quercus alba L.","Ha Ha Tonka State Park","MO","alba",1841,"QUE001841","MO-MG327",NA,"Quercus alba L.",NA,"Quercus","alba",42905,"Mira Garner, Sara Desmond","fresh, frozen",NA,"USA","Missouri","Camden","County","Ha Ha Tonka State Park","Oak Savanna","Quercus alba, Q. muehlenbergii, Q. stellata","861","Quercus alba L.","37.97316","-92.762270000000001",NA,"861 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted",NA,NA,NA,"DNA Barcoding","wild",NA,NA,NA,NA,"Quercus alba L., SPMCODE: QUE001841, collection#: MO-MG327"
"QUE001862","S008","OAK.MOR.001247","QUE001862","OK-MG281","Quercus stellata Wangenh.","Tallgrass Prairie Preserve","OK","stellata",1862,"QUE001862","OK-MG281",NA,"Quercus stellata Wangenh.",NA,"Quercus","stellata",42906,"Mira Garner, Sara Desmond","fresh, frozen",NA,"USA","Oklahoma","Osage","County","Pawhuska, Tallgrass Prairie Preserve","Oak grove in prairie",NA,"1126","Quercus stellata Wangenh.","36.849139999999998","-96.415199999999999",NA,"1126 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted",NA,NA,NA,"DNA Barcoding","wild",NA,NA,NA,NA,"Quercus stellata Wangenh., SPMCODE: QUE001862, collection#: OK-MG281"
"QUE001863","S009","OAK.MOR.001248","QUE001863","OK-MG282","Quercus macrocarpa Michx.","Tallgrass Prairie Preserve","OK","macrocarpa",1863,"QUE001863","OK-MG282",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",42906,"Mira Garner, Sara Desmond","fresh, frozen",NA,"USA","Oklahoma","Osage","County","Pawhuska, Tallgrass Prairie Preserve","Open prairie on edge of woods",NA,"1030","Quercus macrocarpa Michx.","36.845039999999997","-96.425259999999994",NA,"1030 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted",NA,NA,NA,"DNA Barcoding","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE001863, collection#: OK-MG282"
"QUE001893","S010","OAK.MOR.001249","QUE001893","OK-MG362","Quercus muehlenbergii Engelm.","Red Rock Canyon State Park","OK","muehlenbergii",1893,"QUE001893","OK-MG362",NA,"Quercus muehlenbergii Engelm.",NA,"Quercus","muehlenbergii",42907,"Mira Garner, Sara Desmond","fresh, frozen",NA,"USA","Oklahoma","Caddo","County","Hinton, Red Rock Canyon State Park","roadside",NA,"1509","Quercus muehlenbergii Engelm.","35.448090000000001","-98.353470000000002",NA,"1509 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted",NA,NA,NA,"DNA Barcoding","wild",NA,NA,NA,NA,"Quercus muehlenbergii Engelm., SPMCODE: QUE001893, collection#: OK-MG362"
